##alive;"Judge not convinced murder victim is ___" (Baltimore Sun)
##chick;"___ accuses some of her colleagues of sexism" (L.A. Times)
##coldwave;"___ linked to temperatures" (newspaper headline)
##cows;"___ lose their jobs as milk prices drop" (Baltimore Sun)
##crack;"Strip search finds ___ between buttocks" (WYFF4.com headline)
##dead;"Man found ___ in graveyard" (Evening Standard)
##eel;"Endangered seal with ___ up its nose remains a mystery" (BBC)
##eels;"___ stuck in Hawaiian monk seals' noses baffle scientists" (Washington Post)
##everyonemakesmistakes;"'___' says teen who karate-kicked 74-year-old man into River Mersey" (Manchester Evening News)
##food;"___ is basic to student diet" (Bridgeport (Connecticut) Post)
##gunshop;"Federal agents raid ___, find weapons" (The World)
##hearing;"Shouting match ends teacher's ___" (newspaper headline)
##homicide;"___ victims rarely talk to police" (Express Times)
##illiteracy;"___ an obstable, study finds" (The Washington Post)
##joint;"Marijuana issue sent to a ___ committee" (Toronto Star)
##jointcommittee;"Marijuana issue sent to a ___" (Toronto Star)
##karatekicked;"'Everyone makes mistakes' says teen who ___ 74-year-old man into River Mersey" (Manchester Evening News)
##larger;"___ kangaroos leap farther, researchers find" (L.A. Times)
##literacy;"Missippi's ___ program shows improvement" (Associated Press)
##marijuana;"___ issue sent to a joint committee" (Toronto Star)
##miraclecure;"___ kills fifth patient" (Associated Press)
##money;"World Bank says poor need more ___" (A.P.)
##murder;"Judge not convinced ___ victim is alive" (Baltimore Sun)
##onelegged;"___ escapee still on the run" (The Australian)
##ontherun;"One-legged escapee still ___" (The Australian)
##oxygen;"Breathing ___ linked to staying alive" (Mason County Press)
##package;"Republicans turned off by size of Obama's ___" (viral 2009 headline)
##passing;"___ wind strands BC Ferry passengers" (Vancouver Sun)
##poor;"World Bank says ___ need more money" (Associated Press)
##qualityoflife;"Terminal illness strains ___" (Arizona Republic)
##screw;"Textron Inc. makes offer to ___ company stockholders" (Miami Herald)
##sewer;"City unsure why the ___ smells" (South Haven Herald-Palladium)
##shellshocked;"Tortoise theft leaves owner ___" (Whitechurch Herald)
##shoutingmatch;"___ ends teacher's hearing" (newspaper headline)
##smells;"City unsure why the sewer ___" (South Haven Herald-Palladium)
##spicysausage;"French scientist owns up after star photo revealed to be ___" (ABC News)
##stayingalive;"Breathing oxygen linked to ___" (Mason County Press)
##stool;"Child's ___ great for use in garden" (Buffalo Courier-Express)
##teenpregnancy;"Statistics show that ___ drops off significantly after age 25" (Denver Post)
##tortoise;"___ theft leaves owner shell-shocked" (Whitechurch Herald)
##violin;"Drunk gets three months in ___ case" (Headline)
##violincase;"Drunk gets three months in ___" (Headline)
##walkout;"Limb centre hit by ___" (Cumberland News)
##weapons;"Federal agents raid gun shop, find ___" (The World)
##weather;"Forecaster calls for ___ on Monday" (Pittsburg Post-Gazette)
##wind;"Passing ___ strands BC Ferry passengers" (Vancouver Sun)
*adlibber;Make-up artist?
alterego;Self-made man?
alterego;Split second?
alteregos;Inside voices?
alteregos;Likeminded individuals?
alteregos;Self-made men?
alteregos;Split seconds?
aminor;It's all-natural
and;Word that has never appeared in a Best Picture winner
andmakeitsnappy;Rush order?
andtheyreoff;Starting line?
anger;Red state
angryletter;Cross words?
angryletters;Cross word?
anvils;Hearing things?
anxious;Past tense?
applause;Stage props?
archipelago;Key chain?
archipelagos;Key chains?
armylife;Private time?
arsonist;Housewarming party?
artgallery;Hang in there
artifact;A thing of the past
artmuseum;Hang in there
artstudio;Drawing pad?
artstudio;Sketch pad?
artstudios;Drawing pads?
artstudios;Sketch pads?
asp;Cleopatra's final offer?
asspennies;Seat change?
asspenny;Seat change?
asti;"Wine tasting" region ... literally
atelier;Drawing pad?
ateliers;Drawing pads?
atkins;Doctor who went against the grain
atkinsdiet;Plan that goes against the grain?
atticusfinch;Pop in a movie?
auditor;Uncredited individual?
auditors;Uncredited individuals?
australia;Country that exports sand and camels to Saudi Arabia
awol;Totally off base?
backedinto;Popped the hood?
backinginto;Popping the hood?
backinto;Pop the hood?
backlot;Where to see shooting stars?
backlots;Where to see shooting stars?
backpocket;Phone home, maybe?
backsinto;Pop the hood?
backup;Reverse order?
bail;Booking fee?
bailiff;Hearing aide
bailiffs;Hearing aides
baked;High definition
bald;Distressed?
bald;Have a falling out?
balded;Distressed?
balding;Distressing?
balds;Distresses?
balds;Has a falling out?
banker;Person of interest?
bankers;Persons of interest?
bankrupt;Discredited?
barista;Grounds keeper?
bartend;Sling shots?
bartender;Pro shot putter?
bartender;Shot putter?
bartenders;Pro shot putters?
bartenders;Shot putters?
bassale;Drink like a fish?
bassales;Drinks like a fish?
bassinet;Mobile home?
bassinets;Mobile homes?
basspaleale;Drink like a fish?
basspart;Bottom line?
bathe;Get into hot water
bathed;Got into hot water
bathes;Gets into hot water
bathroom;Need to go?
bathrooms;Needs to go?
batter;It hits close to home?
batter;Pancake makeup?
batters;They hit close to home?
battery;A take charge individual?
battery;One that takes charge?
baudrate;Terminal velocity?
bea;Arthurian legend?
beak;Bit of a lark?
beatit;Order to go
bedtime;Retirement schedule?
beefheart;Stock ticker?
beefhearts;Stock tickers?
beehive;Colonial dwelling?
beer;Garden variety?
beers;Heady stuff?
beetree;Colonial dwelling?
bequiet;Zip line?
beseated;Court order?
beseated;Order in the court?
bestseller;Lit on fire?
bestsellers;Lit on fire?
bewareofdogs;Pound sign?
bewareofthedogs;Pound sign?
beyonce;Pop icon with a conspicuous accent
billboard;Hits home?
billboardchart;Hits home?
bishop;Profession of faith
bishops;Professions of faith
blackbeauty;Night mare?
blackhumor;Dim wit?
blackjackdealer;Ace pitcher?
blackjackdealers;Ace pitchers?
blackjackdealers;Table manners?
bland;Boring name for an Australian town
blindedexperiment;Trick or treat?
blindexperiment;Trick or treat?
blindstudy;Trick or treat?
blindtest;Trick or treat?
blockbuster;Shoot for the stars?
blockbusters;Shoots for the stars?
blt;Strip club?
blts;Strip clubs?
blueorigin;Starship enterprise
bluntwords;Plain tiff?
blurtout;Not deliberate
blush;A thing of beauty
boardingpass;Fly paper?
bodyguard;Grave robber's deterrent?
bookclub;Word association?
bookclubs;Word associations?
bookit;Bolt out of the blue?
bootedout;Dismembered?
bootingout;Dismembering?
bootout;Dismember?
bootsout;Dismembers?
boring;Dull name for an Oregon town
botanical;Garden variety
bowlingalley;Strikes home?
boxer;Bell ringer?
boxers;Bell ringers?
brain;It makes you think
brain;Needs to think?
brainpan;Head quarters
brains;Needs to think?
breakupsex;Last act of congress after dissolving the union?
brew;Heady stuff?
brews;Heady stuff?
bridgeovertroubledwater;Rapid transit?
bubble;Figure of speech?
bubbles;Figures of speech?
bugspray;Buzzer beater?
bugsprays;Buzzer beaters?
bull;Jersey boy? [ignored in Er, I See]
bullpen;Stock holder?
bullpen;Stock room?
bullpen;Stock yard?
bullpens;Stock holders?
bullpens;Stock rooms?
bullpens;Stock yards?
bulls;Jersey boys? [ignored in Er, I See]
bumble;Where to play with matches?
bus;Clear stuff
bush;Leaves home?
buttdial;Call from behind?
buttdial;Call from one's seat?
buttdial;Call from the can?
buttdialing;Calling from behind?
buttdialing;Calling from one's seat?
buttdialing;Calling from the can?
buttdials;Calls from behind?
buttdials;Calls from one's seat?
buttdials;Calls from the can?
button;Remote possibility?
cadaver;Body of evidence?
cadavers;Bodies of evidence?
calculator;Product development tool?
calculators;Product development tools?
calendar;Times square?
calendars;April showers, in April?
callbullshit;Utter tripe?
camels;Saudi Arabia imports them from Australia
campfire;Bush telly, to an Aussie
candidate;Stumper?
candle;Something wicked?
candle;Wicked good?
candyshop;Bar keep?
candyshops;Bar keeps?
candystore;Bar keep?
candystores;Bar keeps?
canon;Round number?
canons;Round numbers?
cape;Marvel movie trailer?
capes;Marvel movie trailer?
carad;Promotion that includes a company vehicle
carads;Promotions that include a company vehicle
carddealer;Ace pitcher?
carddealers;Ace pitchers?
cardinal;Profession of faith
cardinals;Professions of faith
caricature;Draw stares?
caricatured;Drew stares?
caricatures;Draws stares?
caricaturing;Drawing stares?
carkey;It goes in, fits and starts
carpayments;"If you think nobody cares if you're alive, try missing a couple of ___": Earl Wilson
cartwheel;Get over yourself
caterer;Social worker?
caterers;Social workers?
cattlepen;Stock holder?
cattlepen;Stock room?
cattlepen;Stock yard?
cattlepens;Stock holders?
cattlepens;Stock rooms?
cattlepens;Stock yards?
cellie;Pen pal?
cellies;Pen pals?
cellmate;Pen pal?
cellmates;Pen pals?
cemeteries;Stiff joints?
cemetery;Stiff joint?
cent;Tender part?
cents;Tender parts?
charger;Phone home?
charliebucket;Broke character?
cheapskate;One who gives no quarter?
cheapskates;Ones who gives no quarter?
checkers;Two can play at that game
chess;Two can play at that game
chevron;Gas giant?
chickensoup;Cold comfort
childactor;Minor celebrity?
childactors;Minor celebrities?
childstar;Minor celebrity?
childstars;Minor celebrities?
chmelar;Athlete Fanny in a funny clip
circular;Like buttons
cleanroom;No fly zone?
cleanrooms;No fly zones?
clergy;Profession of faith
clergyman;Profession of faith
clergymen;Professions of faith
clickhere;Order online?
clios;Advertising props?
closetalker;Space invader?
closetalkers;Space invaders?
cloture;Congressional term?
club;Drive shaft?
cobblestone;Rocky road ingredient?
cobblestones;Rocky road ingredients?
cocounsel;Hearing aide
cocounsels;Hearing aides
cogitoergosum;Line of reasoning?
coin;What's small, round, and tender?
coins;What are small, round, and tender?
coinslots;Change channels?
comparison;The thief of joy, it's said
confusedlook;Lost face?
contraction;Labor movement
cookbook;Flavor text?
cosette;Broke character?
couch;Remote place to be lost?
couch;Throws home?
courtdate;Trying time?
courtdates;Trying times?
courtreporter;Bench press?
courtreporter;Hearing aide?
courtreporters;Bench press?
courtreporters;Hearing aides?
cow;Flies home?
crabmallet;Animal cracker?
crabmallets;Animal crackers?
crack;Street wear?
cracks;Street wear?
cradle;Mobile home?
cradle;Phone home?
cradle;There goes my baby
cradles;Mobile homes?
crater;Great depression
crazylittlethingcalledlove;Queen's subject?
crib;There goes my baby
cries;Watershed moments?
critic;One who gets the picture?
critics;They get the picture?
cropped;Out of the picture?
crossover;Mad about?
cruiseship;Getaway vehicle?
cruiseships;Getaway vehicles?
cry;Watershed moment?
csection;Express delivery?
cut;Production line?
daguerre;First person shooter?
das;Battery chargers, for short?
date;Chemistry test?
dates;Chemistry tests?
dead;At no charge?
dead;Charge too little?
dead;Free of charge?
dealer;Ace pitcher?
dealer;Game controller?
dealers;Ace pitchers?
dealers;Game controllers?
dealers;Table manners?
dealingto;Giving a hand
dealsto;Gives a hand
dealto;Give a hand
dealtto;Gave a hand
dear;Letter opener?
dearsir;Letter opener?
dearsirs;Letter opener?
decorator;Social worker?
decorators;Social workers?
dee;Grand finale?
dee;Swiped right?
deionize;Free of charge?
deionized;Free of charge?
den;Hang in there
depositions;Hearing things?
depression;Blue state?
dermatological;Skinny?
dermatologist;One who makes rash decisions?
dermatologist;Skinny doctor?
dermatologists;Ones who makes rash decisions?
dermatologists;Skinny doctors?
destination;Get to it!
det;Case worker, for short?
det;Grill master, for short?
detective;Case worker?
detective;Grill master?
detectives;Case workers?
detectives;Grill masters?
developer;One who buys a lot?
developers;Ones who buys a lot?
dialogue;Plot lines
dialogue;Production lines?
dialogue;Story lines
diamondring;Hard rock band?
diamondrings;Hard rock bands?
diaper;Bum wrap
ding;Minute mark?
director;Stage coach?
directors;Stage coaches?
dis;Offensive line
diss;Offensive line
disyllabic;Like clockwork?
diver;One who's ready to jump on board?
divers;Ones ready to jump on board?
doctorfrankenstein;Body builder?
doghouse;Doodle pad?
dognap;Sneak a peke?
dognapped;Sneaked a peke?
dognapping;Sneaking a peke?
dognaps;Sneaks a peke?
dollar;Fourth quarter
donkey;Hauling ass?
dontbeahog;Blanket policy?
dontroundyourback;Exercise caution?
dontstart;Layoff demand?
dontstartinonme;Layoff demand?
dontstartwithme;Layoff demand?
dontworryaboutit;Line of latitude?
dorm;Bed of Rice?
dorm;Duke's quarters
dorm;Hang in there
dormroom;Hang in there
dorms;Beds of Rice?
dorms;Duke's quarters
doubleblindedexperiment;Trick or treat?
doubleblindstudy;Trick or treat?
doubleblindtest;Trick or treat?
dowdy;Not looking so hot?
drained;At no charge?
drained;Charge too little?
drained;Free of charge?
drfrankenstein;Body builder?
drinksareonme;Free spirits
drinksareonthehouse;Free spirits
drjekyllandmrhyde;Double text?
duck;Down home?
dull;Boring name for a Scotland town
dull;Pointless?
dumbdown;Counter intelligence?
dumpster;It could be right up one's alley
dumpsters;They could be right up one's alley
eagle;Old quarter back?
eagles;Old quarter backs?
earbuds;Hearing things?
ears;Hearing things?
earthmother;Dirty girl?
earthshattering;Groundbreaking?
echo;Bouncer at a concert hall?
echo;Hear what you're saying
echo;Snappy comeback?
echoes;Bouncer at a concert hall?
echoes;Snappy comebacks?
edit;Get the word out?
edit;Make paper cuts
edit;Put in a good word?
edit;Solve word problems?
edited;Got the word out?
edited;Made paper cuts
edited;Put in a good word?
edited;Solved word problems?
editing;Getting the word out?
editing;Making paper cuts
editing;Putting in a good word?
editing;Solving word problems?
edits;Gets the word out?
edits;Makes paper cuts
edits;Puts in a good word?
edits;Solves word problems?
eff;Faith leader?
eff;Firestarter?
eff;Rejection letter?
eggplantemoji;Sex symbol?
eggplantemojis;Sex symbol?
eharmony;Where to play with matches?
eider;Down on the farm?
electron;Roaming charge?
electrons;Roaming charges?
ell;Head of lettuce?
ell;Loss leader?
embezzlement;Get-rich-quick scheme?
embezzlements;Get-rich-quick schemes?
emmys;Television props?
encinoman;Frozen stiff?
engine;Motor home?
engines;Motor homes?
enough;Layoff demand?
eon;It's a stretch
eons;They're quite a stretch
epic;It's a long story
epluribusunum;Quarter note
erotica;Graphic novels?
esophagus;Pipe organ?
ess;Head of state?
ess;Head of steam?
ess;Last of the Mohicans?
ess;Self starter?
ess;Series finale?
ess;Spiritual leader?
ess;Stage left?
ess;Supreme leader?
ess;Swipe left?
eta;Head of Hera?
eureka;Inspired name for a California town
eve;Garden party
eventplanner;Social worker?
eventplanners;Social workers?
exchanges;Trading places
exorcise;Dust devils?
exxon;Gas giant?
exxonmobil;Gas giant?
eyelid;Lens cover
eyeshadow;A thing of beauty
facepaint;Make a profile picture?
facepainting;Profile picture?
facetat;Profile pic?
facetats;Profile pics?
facetattoo;Profile picture?
facetattoos;Profile pictures?
fairytale;Something related to children
fairytales;They're related to children
fanny;Athlete Chmelar in a funny game show clip
fannychmelar;Athlete in a funny game show clip
fantine;Broke character?
farmed;Had a field day?
fashionmag;Clothes press?
fashionmag;Vanity press?
fashionmags;Clothes press?
fashionmags;Vanity press?
fashionreporter;Clothes press?
fashionreporter;Vanity press?
fashionreporters;Clothes press?
fashionreporters;Vanity press?
fatbottomedgirls;Queen's subject?
fawn;Babe in the woods?
fawns;Babes in the woods?
fbiagent;Someone who may bug you
fbiagents;They may bug you
fearful;Past tense?
fearofneedles;Sticker shock?
feather;Bit of a lark?
feather;Woodstock head liner?
fed;Public interest group?
fedchair;Person of interest?
fedchairman;Person of interest?
fedchairmen;People of interest?
fedchairs;People of interest?
fiance;Engagement party
fiancee;Engagement party
filibuster;Lengthy Congressional term?
filmcritic;One who gets the picture?
filmcritics;They get the picture?
fineartist;Top drawer?
fingerpaint;Digital art medium?
fingerpainting;Digital art?
fingerpaintings;Digital art?
fingerprint;Digital identification?
fingerprints;Digital identification?
fingerpuppet;Digital entertainment?
fingerpuppets;Digital entertainment?
firehose;Water pitcher?
firehoses;Water pitchers?
firstdate;Chemistry test?
firstdates;Chemistry tests?
firstfloor;Lead story?
firstfloors;Lead stories?
flamenco;Spanish steps
flamewar;Cross words?
flatabs;Hard core?
flatstomach;Hard core?
flattire;Holey roller?
flattires;Holey rollers?
flee;Bolt out of the blue?
fleethescene;Bolt from the blue?
floors;Trading places
flop;Star destroyer?
flops;Star destroyers?
flyswatter;Buzzer beater?
flyswatters;Buzzer beaters?
foolandhismoney;Chump change?
fortknox;Bar keep?
fossil;A thing of the past
fossils;Remains underground?
foundation;A thing of beauty
franc;French quarter
frankenstein;Body builder?
freeradical;Roaming charge?
freeradicals;Roaming charges?
frontpocket;Phone home, maybe?
frown;Make headlines?
frowned;Made headlines?
frowning;Making headlines?
frowns;Makes headlines?
frumpy;Not looking so hot?
ftknox;Bar keep?
funk;Blue state?
furry;Like cats and dogs
garaged;In one's wheelhouse?
garbageday;Waste time?
geared;Like clockwork
georgebailey;Broke character?
georgebailey;Pop in a movie?
georgohm;Notable resistance figure
gerrymander;Congressional term?
gerrymandering;Congressional term?
getamoveon;Order to go
getawaycar;Escape key?
getawaydriver;Escape key?
getawayvehicle;Escape key?
getawayvehicle;Muscle car?
getlost;Order to go
getlost;Take the wrong way?
getout;Order to go
getslost;Takes the wrong way?
giveitarest;Layoff demand?
golfclub;Drive shaft?
goonthelam;Bolt from the blue?
goontherun;Bolt from the blue?
goosebump;Cold shower?
goosebumps;Cold showers?
goosechase;Wild thing
goosechases;Wild things
goosepimple;Cold shower?
goosepimples;Cold showers?
gop;Bush league, briefly?
gotlost;Took the wrong way?
grabbing;Taking form?
grade;Leave one's mark on?
graded;Left one's mark on?
grades;Leaves one's mark on?
grading;Leaving one's mark on?
gravel;Chip on the shoulder?
gravel;Rocky road ingredient?
graveyard;Stiff joint?
graveyards;Stiff joints?
gravity;Force of law?
greatcircle;Big band?
groundbreaking;Earth shattering?
gscale;One sharp one
guardsmen;Hold hands?
guilty;Legal profession?
guinness;Record collection?
gulliver;Swift traveller?
hacker;Champ at the bit?
hackers;Champs at the bit?
hairstyles;Bob and weave
halfdollar;Second quarter?
hammers;Hearing things?
handbills;Play cards?
handmirror;A thing of beauty
handmodel;Digital assistant?
handmodel;Manual laborer?
handmodels;Digital assistants?
handmodels;Manual laborers?
hanging;Garden variety?
hardc;Cult leader?
hardc;Tragic ending?
hardg;Big finale?
hardo;One for the road
hatemail;Cross words?
hatter;Mad man?
hatters;Mad men?
headphones;Hearing things?
heartbreaker;Petty individual?
heartbreakers;Petty people?
heartemoji;Sign of love
heartemoji;Ticker symbol?
heartemojis;Signs of love
heartemojis;Ticker symbols?
heavyweightchamp;Lord of the ring?
heavyweightchampion;Lord of the ring?
heist;Get-rich-quick scheme?
heists;Get-rich-quick schemes?
hello;Pick up line?
helovesme;Picky verdict?
helovesmenot;Picky verdict?
hemlock;Socrates's final offer?
herd;Take stock in?
herded;Took stock in?
herding;Taking stock in?
herdmentality;Bullheadedness?
herds;Takes stock in?
hitchhiker;Bummer
hitchhikers;Bummers
hittheroad;Order go go
hole;Mouse pad?
holes;Mouse pads?
holster;Arm rest?
holsters;Arm rests?
honeyimhome;Gets in line?
honeyimhome;Getting in line?
hoof;Stock part?
horrorstruck;Past tense?
horse;Regular neighsayer
horticulture;"You can lead a ___, but you can't make her think": Dorothy Parker
hospital;Delivery address?
host;Social worker?
hostess;Social worker?
hostesses;Social workers?
hosts;Social workers?
hotdog;Fan fare?
hotdogs;Fan fare?
hotfootit;Bolt out of the blue?
hotsauce;Throat singer?
housebeer;First round draft pick, maybe?
housebeer;Number one draft pick, often?
housebeers;Number one draft picks, often?
hunter;Person with an outside shot?
hurry;Rush order?
hurryup;Rush order?
hustler;Blue book?
hydroelectricity;Flower power?
hysteric;Past tense?
hysterical;Past tense?
icansee;Line of sight?
icansee;Vision statement
icanseeagain;Line of sight?
icanseeagain;Vision statement
icepack;Cold comfort?
icepack;Natural number?
icepacks;Natural numbers?
identified;Got a handle on?
identifies;Gets a handle on?
identify;Get a handle on?
identifying;Getting a handle on?
ididntdoit;Defensive line?
idlemoment;Light second?
idlemoments;Light seconds?
ido;Swear words [used in One and the Same]
ignition;Starter home?
ignitions;Starter homes?
ikillme;Laugh line?
imam;Profession of faith
imams;Professions of faith
imback;Return address?
imdb;Star chart?
imdone;Finish line?
imdrunk;Bar admission?
imfree;Declaration of independence
imhere;Getting in line?
imhome;Getting in line?
iminnocent;Defensive line?
improvcomic;Make-up artist?
improvcomics;Make-up artists?
improvgroup;Make-up artists?
improvgroups;Make-up artists?
improvtroupe;Make-up artists?
improvtroupes;Make-up artists?
ingodwetrust;Quarter note
inhale;Get some air
inhaled;Got some air
inhales;Gets some air
inhaling;Getting some air
injectionsite;Sticking point?
innuendo;Queen's subject?
inseam;Sewer line?
inseams;Sewer lines?
insomnia;Stuck up person's excuse?
insomnia;What makes someone stuck up?
insomniac;Stuck up person?
insomniacs;Stuck up people?
inspector;One who checks all the boxes?
inspectors;Ones who check all the boxes?
insult;Offensive line
insultcomic;Offensive lineman?
insults;Offensive lines
inthepast;Like yesterday
ire;Red state
ironlady;Metal ruler?
irons;Press agents?
irs;Returns home, for short?
isee;Line of sight?
isee;Vision statement?
iseeit;Line of sight?
iseeit;Vision statement?
iseeitnow;Line of sight?
iseeitnow;Vision statement?
iseethat;Line of sight?
iseethat;Vision statement?
islet;Minor key?
islets;Minor keys?
itsallgood;Line of latitude?
itsfine;Line of latitude?
itsok;Line of latitude?
itsokay;Line of latitude?
itsokaybyme;Line of latitude?
itsokbyme;Line of latitude?
itsokwithme;Line of latitude?
itwasntme;Defensive line?
itwontcostyouadime;Free admission?
iwas;"Are you sleeping?" reply
iwin;First in line?
iwon;First in line?
jackhammer;Pound the pavement
jackolantern;Fall guy?
jammer;Source of killer waves?
jammers;Sources of killer waves?
janitors;School bleachers?
japan;Go home?
jeanvaljean;Broke character?
jerky;Animal preserves?
jilting;Going off without a hitch?
jobs;Desktop icon?
john;Need to go?
john;Something to go on?
johnny;Cash up front?
johns;Needs to go?
joker;Wild thing
jokers;Wild things
joyofcooking;Flavor text?
judges;Hearing things?
jumpstart;Get a charge out of?
jumpthegun;Not deliberate
justdoingmyjob;Line of duty?
kabob;Sticky food?
karatetest;Board exam, maybe?
karatetests;Board exams, maybe?
kebab;Sticky food?
keto;It really goes against the grain
ketodiet;It really goes against the grain
ketodiets;They really go against the grain
kickass;Hit bottom?
kickedout;Dismembered
kickingout;Dismembering
kickout;Dismember
kicksout;Dismembers
kingoftheforest;Wooden ruler?
knife;Chopper
knives;Choppers
kobebeef;A cut above the rest?
koln;Cologne to Europeans
koolaid;Punch in the gut?
kos;Feats of Clay? (Abbr.)
